Frequency (Hz),Level (dB),Frequency (kHz)
14771.777344,-95.718018,14.771777344
14814.84375,-95.737457,14.81484375
14857.910156,-94.854012,14.857910156
14900.976562,-87.585365,14.900976562
14944.042969,-86.018936,14.944042969
14987.109375,-93.509758,14.987109375
15030.175781,-95.537872,15.030175781
15073.242188,-95.668907,15.073242188
15116.308594,-95.239128,15.116308594
15159.375,-95.31382,15.159375
15202.441406,-94.936714,15.202441406
15245.507812,-95.519623,15.245507812
15288.574219,-95.344254,15.288574219
15331.640625,-95.494331,15.331640625
15374.707031,-96.284775,15.374707031
15417.773438,-96.096893,15.417773438
15460.839844,-95.792793,15.460839844
15503.90625,-96.15728,15.50390625
15546.972656,-95.485794,15.546972656
15590.039062,-95.880081,15.590039062
15633.105469,-95.533226,15.633105469
15676.171875,-95.651917,15.676171875
15719.238281,-95.324066,15.719238281
15762.304688,-95.179665,15.762304688
15805.371094,-95.495178,15.805371094
15848.4375,-95.31794,15.8484375
15891.503906,-95.211113,15.891503906
15934.570312,-95.605614,15.934570312
15977.636719,-95.415016,15.977636719
16020.703125,-95.105133,16.020703125
16063.769531,-95.072372,16.063769531
16106.835938,-94.919174,16.106835938
16149.902344,-94.92424,16.149902344
16192.96875,-94.823235,16.19296875
16236.035156,-95.453835,16.236035156
16279.101562,-95.681404,16.279101562
16322.167969,-95.267151,16.322167969
16365.234375,-95.194946,16.365234375
16408.300781,-95.520332,16.408300781
16451.367188,-95.380371,16.451367188
16494.433594,-95.667862,16.494433594
16537.5,-95.048981,16.5375
16580.566406,-95.307419,16.580566406
16623.632812,-95.486061,16.623632812
16666.699219,-95.466751,16.666699219
16709.765625,-95.427628,16.709765625
16752.832031,-95.168594,16.752832031
16795.898438,-94.909744,16.795898438
16838.964844,-94.982895,16.838964844
16882.03125,-91.42878,16.88203125
16925.097656,-87.616653,16.925097656
16968.164062,-93.127792,16.968164062
17011.230469,-94.588829,17.011230469
17054.296875,-95.375404,17.054296875
17097.363281,-95.190094,17.097363281
17140.429688,-95.082062,17.140429688
17183.496094,-95.216957,17.183496094
17226.5625,-95.067284,17.2265625
17269.628906,-95.611099,17.269628906
17312.695312,-95.284256,17.312695312
17355.761719,-95.213715,17.355761719
17398.828125,-94.72123,17.398828125
17441.894531,-94.718918,17.441894531
17484.960938,-94.794121,17.484960938
17528.027344,-95.325516,17.528027344
17571.09375,-95.352089,17.57109375
17614.160156,-94.882607,17.614160156
17657.226562,-95.232864,17.657226562
17700.292969,-94.829033,17.700292969
17743.359375,-95.568817,17.743359375
17786.425781,-95.057007,17.786425781
17829.492188,-94.866676,17.829492188
17872.558594,-94.811768,17.872558594
17915.625,-94.596077,17.915625
17958.691406,-94.601601,17.958691406
18001.757812,-94.461327,18.001757812
18044.824219,-94.861313,18.044824219
18087.890625,-94.743599,18.087890625
18130.957031,-94.558411,18.130957031
18174.023438,-94.721703,18.174023438
18217.089844,-94.763535,18.217089844
18260.15625,-94.756706,18.26015625
18303.222656,-94.856209,18.303222656
18346.289062,-95.064598,18.346289062
18389.355469,-94.876228,18.389355469
18432.421875,-94.524612,18.432421875
18475.488281,-94.731049,18.475488281
18518.554688,-94.171883,18.518554688
18561.621094,-94.504631,18.561621094
18604.6875,-94.506744,18.6046875
18647.753906,-94.849686,18.647753906
18690.820312,-94.995895,18.690820312
